Date,JPM,MSFT,JNJ,UNH,CAT,AABA,HD,CVX,MMM,AMZN,CSCO,XOM,VZ,WMT,GS,AAPL,AXP,GOOGL,UTX,KO,MRK,TRV,IBM,INTC,PFE,GE,DIS,PG,BA,MCD,NKE
2006-01-24,-0.00418082,-0.002277904,-0.013789666,0.004478898,0.009212041,0.009261939,0.011502876,0,0.002567221,0.008245534,0.008805724,0.000985222,-0.009300834,0.003732162,0.002789716,-0.034666667,0.017726397,0.016083948,0.012374462,-0.009708738,0.00152765,0.013190253,-0.006634722,-0.011611705,-0.0164,-0.017585693,0.015234375,-0.002241379,0.003708649,-0.002504174,-0.003795066
2006-01-25,0.008385744,-0.000378644,-0.040983607,-0.012770305,0.009268293,-0.026531188,-0.0108857,-0.016693419,-0.003412969,-0.010215664,0.011989101,-0.018421911,0.012258065,0.005908096,-0.000673401,-0.04159132,0.007619048,-0.040467546,0.009743136,0,0.014984709,-0.011933702,-0.001727329,-0.008878505,0.004449838,-0.011764706,-0.028636884,0.00636833,-0.011815094,-0.023333333,0.00190295
2006-01-26,0.022733144,-0.002259036,-0.00187234,-0.001724435,0.029541864,0.006582713,0.007481297,-0.020813008,-0.007101885,0.016609784,0.000538503,-0.013818062,-0.002518892,0.002380437,0.033005037,-0.030046948,0.003198495,-0.012000545,0.000870019,0.004844961,0.018296341,0.01650165,-0.009570552,0.004205607,0.004008016,0.00273307,-0.016470588,0.001191489,0.018979834,-0.015774648,-0.013157895
2006-01-27,0.012738854,0.020565553,-0.004071247,0.005151099,0.024734446,-0.004821327,-0.005469915,0.004658902,0.002760524,0.015039282,0.010764263,0.015407555,0.009105181,-0.003261579,0.007322555,-0.012476008,0.001503194,-0.003490722,0.008756868,0.011571842,0.026627219,0.01173913,0.003343653,-0.003678161,0.021218075,0,-0.00317965,0.005723906,0.002485744,0.003148254,-0.013295347
2006-01-30,0.008350202,0.006470165,-0.005280191,-0.010787671,0.00721479,-0.000285225,0.007049345,-0.001643385,-0.003429355,-0.009909712,0.01070091,0.003657761,-0.010852713,0.000215517,0.002293085,0.053097345,-0.008842897,-0.00563236,-0.003074821,-0.001912046,0.001453066,-0.013648966,0.017703528,-0.008245534,-0.008030593,0.000911854,0.009516257,0.000169119,0.007443082,0.003438395,-0.010648596
2006-01-31,-0.006994754,0.008599068,-0.010490112,0.02148874,0.013432836,-0.023295455,0.01375,-0.017050157,0.004834254,0.001340483,-0.006951872,0,-0.007834535,-0.007105943,0.010878122,0,-0.001142639,0.00487239,0.00637931,-0.00862482,-0.01061084,-0.012404788,-0.002453988,-0.019824804,-0.013066872,-0.004559271,-0.00745098,0.004749788,-0.01,-0.000856164,-0.009784736
2006-02-01,0,0.00286123,0.003294607,0.003372681,0.016740088,0.015965167,-0.005438813,-0.011451667,0.01230982,0.00136612,0.009782609,-0.013063565,0.003787879,0.001954397,0.002192362,0.005602241,0.003241182,0.032766679,-0.002064694,0.007281553,0.011380216,0.005511464,0.012855377,0.014595104,0.011650485,0.014696877,0.004771372,0.012182741,0.023142857,0.018851757,0.022637795
2006-02-02,0.002758275,-0.010368252,-0.011996572,-0.006194542,-0.005236364,-0.021708083,0,-0.003406575,-0.013805358,-0.025091241,-0.004875406,0.000807754,-0.008176101,-0.000431965,0.001757222,-0.040074557,-0.000760456,-0.019246945,-0.007731959,-0.001936108,-0.021128799,-0.002202643,-0.002701044,-0.016697588,-0.012260536,-0.005140611,-0.001988072,-0.001506528,0.004905396,0.003396547,0.001923077
2006-02-03,0.002027883,0.002183406,0.002095704,0.004380054,-0.001026393,-0.013529412,-0.000752823,-0.010667584,-0.009059233,0.016710875,-0.007654456,-0.004217356,0.008293461,-0.010871929,0.008406923,-0.005813953,-0.004565341,-0.030658342,-0.010041551,-0.003412969,-0.003188406,-0.002449889,-0.007200497,-0.018921476,-0.01939488,0.00152439,0.001200961,0.004882977,-0.011576011,0.014668547,0.00965251
2006-02-06,0.001015228,-0.012359142,-0.011304348,-0.013481631,0.002919708,-0.028908555,-0.007040483,0.014482759,0.002394366,-0.010172144,-0.011092623,0.004376013,-0.005045727,-0.007922535,0.001472548,-0.066083576,0,-0.000570391,-0.004533566,0.00244858,-0.011974299,-0.011203227,-0.005379034,-0.011510791,-0.004760016,-0.00304414,-0.00952381,0.003524673,0.006935598,0.003611111,-0.014981273
2006-02-07,0.001530612,-0.000371058,-0.003508772,-0.013162393,-0.016691069,0.000302939,-0.015505846,-0.013665869,-0.007166948,-0.014705882,0.014013453,-0.016885858,-0.003479911,-0.005777778,-0.020161574,-0.009230769,-0.000575816,-0.039386509,-0.005593428,-0.008695652,-0.000296736,-0.003642158,0.004402516,0.00242483,0.005189621,-0.010716473,0.044192413,-0.00252228,0.003506311,-0.003030303,-0.010436433
2006-02-08,0.00814664,-0.003702332,0.02716915,0.001216968,0.015645756,-0.007220217,0.006923077,0.002597852,0.004953999,0.012466844,0.006746238,0.0065,0.027103687,0.013845467,0.007423269,0.005112474,0.014623821,0.001626722,-0.001232611,-0.000484731,0.011504425,-0.0016,0.002730206,-0.005293551,0.028070175,0.013308573,0.009002251,0.001178451,0.007157895,-0.006557377,0.008604207
2006-02-09,0.006071338,-0.011127596,-0.010143702,-0.007179487,-0.007971014,-0.015449864,-0.004334523,-0.020991053,0.010650224,-0.016058016,0.001536885,-0.010404624,0.001226242,0.004837291,-0.002054697,-0.059777102,0.001699717,-0.033532483,-0.002287122,-0.002918288,-0.004060325,-0.002982335,0,0.011073664,-0.001137656,0.004270897,-0.005212211,0.002690885,0.003344016,-0.000275406,0.000954198
2006-02-10,0.007571933,0.002629602,-0.00528109,0.007738607,0.008804109,-0.002148557,0.006931964,-0.012386602,0.004426615,0.014218009,0.007649159,-0.010324729,0.013439218,0.003289474,0.000995237,0.03329753,-0.00263455,0.001821594,0.003513086,0.005865103,0.01810089,0.003911643,0.011567164,0.01284491,-0.012307692,0.010935601,0.00263059,0.001173906,0.005963939,0.00165426,-0.002832861
2006-02-13,0,-0.009012392,0.002055498,0.001538462,0.004685212,-0.005277864,0.017426961,-0.000176585,0.003026551,-0.010196078,-0.003567788,0.002860508,-0.001212856,0.000879701,0,-0.029411765,0.000377358,-0.00270909,0.003324584,-0.015466409,-0.000291375,-0.005743166,-0.010943071,-0.002360718,0.007086614,0.001506024,-0.01011994,-0.002349782,0.002223767,-0.001373249,0.001901141
2006-02-14,0.011094302,0.009087467,0.005962521,0.016239316,0.017681159,0.018046049,0.029536921,-0.002327663,0.002721088,0.005520505,0.00305499,0.004893689,0.0185354,0.022677235,0.004107649,0.038709677,0.003939962,-0.005843555,0.013777468,0.008292683,0.004636337,0.017906336,0.006703911,0.008970727,-0.001175088,0.008438819,0.007153614,0.004869857,0.004975812,0.000275028,-0.003795066
